StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q1,Q11,Q12,Q14,Q15,Q17,Q18,Q20,Q21,Q23,Q24,Q29,Q30,Q32,Q33,Q35,Q36,Q38,Q39,Q41,Q42,Q44,Q45,Q47,Q48,Q53,Q54,Q56,Q57,Q59,Q60,Q64,Q65,CompletionCode
2017-11-20 12:51:32,2017-11-20 12:54:12,IP Address,45.37.100.158,100,159,True,2017-11-20 12:54:12,R_2Bri30C9cDUxMnM,,,,,35.966598510742,-79.041000366211,anonymous,EN,Agree,Science,Disagree,Science,Disagree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Disagree,Both of the above,Undecided,Pop Culture,Strongly Disagree,Science,Undecided,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Strongly Disagree,Science,Strongly Agree,Science,Agree,Science,Undecided,Pop Culture,Strongly Agree,Both of the above,,,96830387
2017-11-20 12:51:20,2017-11-20 12:54:15,IP Address,96.239.70.149,100,175,True,2017-11-20 12:54:16,R_7QAS1CH5tTOlM0V,,,,,40.705505371094,-74.004997253418,anonymous,EN,Agree,Science,Undecided,Science,Disagree,Pop Culture,Undecided,Pop Culture,Strongly Agree,Pop Culture,Strongly Agree,Science,Undecided,Pop Culture,Strongly Disagree,Science,Disagree,Pop Culture,Disagree,Pop Culture,Disagree,Pop Culture,Strongly Agree,Science,Strongly Agree,Science,Undecided,Science,Undecided,Pop Culture,Undecided,Pop Culture,,,23823769
2017-11-20 12:50:58,2017-11-20 12:54:17,IP Address,68.107.181.156,100,199,True,2017-11-20 12:54:18,R_2ztIFDGacK26aGd,,,,,32.213195800781,-110.88729858398,anonymous,EN,Agree,Science,Agree,Science,Undecided,Pop Culture,Agree,Pop Culture,Undecided,,Agree,Science,Undecided,Pop Culture,Disagree,,Agree,Pop Culture,Undecided,Pop Culture,Disagree,Pop Culture,Agree,Science,Agree,Science,Agree,Science,Undecided,Pop Culture,Agree,Pop Culture,,,12398049
2017-11-20 12:51:01,2017-11-20 12:54:24,IP Address,186.90.161.209,100,202,True,2017-11-20 12:54:25,R_AAjb5PpIxTNf3hL,,,,,10.5,-66.916702270508,anonymous,EN,Undecided,Science,Strongly Agree,Science,Agree,Pop Culture,Strongly Disagree,Pop Culture,Undecided,Pop Culture,Strongly Agree,Science,Strongly Disagree,,Strongly Disagree,Science,Disagree,Pop Culture,Strongly Disagree,Pop Culture,Strongly Agree,Pop Culture,Strongly Disagree,Science,Strongly Agree,Science,Strongly Agree,Science,Strongly Agree,Pop Culture,Agree,Pop Culture,,,36460577
2017-11-20 12:50:45,2017-11-20 12:55:13,IP Address,24.20.241.3,100,267,True,2017-11-20 12:55:13,R_2U5ffa989qPeD44,,,,,45.630004882812,-122.51989746094,anonymous,EN,Undecided,Science,Strongly Agree,Science,Strongly Agree,Pop Culture,Strongly Agree,Pop Culture,Undecided,Pop Culture,Strongly Disagree,Science,Disagree,Pop Culture,Strongly Disagree,Science,Strongly Disagree,Pop Culture,Undecided,Pop Culture,Strongly Agree,Pop Culture,Strongly Disagree,Science,Undecided,Science,Strongly Agree,Science,Strongly Agree,Pop Culture,Strongly Disagree,Pop Culture,,,13258172
2017-11-20 12:52:04,2017-11-20 12:55:20,IP Address,96.228.17.94,100,196,True,2017-11-20 12:55:21,R_3Jxi6wQHplsT1p5,,,,,37.516006469727,-77.500503540039,anonymous,EN,Agree,Science,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,Disagree,Pop Culture,Undecided,Science,Agree,Pop Culture,Disagree,,Undecided,Pop Culture,Agree,Pop Culture,Undecided,Pop Culture,Disagree,Science,Agree,Science,Agree,Science,Disagree,Pop Culture,Agree,Pop Culture,,,76552820
2017-11-20 12:54:20,2017-11-20 12:55:56,IP Address,208.102.168.177,100,95,True,2017-11-20 12:55:56,R_3ncqbOvF7posjNH,,,,,39.254898071289,-84.239097595215,anonymous,EN,Undecided,Science,Agree,Science,Undecided,Pop Culture,Agree,Pop Culture,Undecided,Pop Culture,Strongly Agree,Science,Agree,Pop Culture,Strongly Disagree,Science,Undecided,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Strongly Agree,Science,Strongly Agree,Science,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,,,41249964
2017-11-20 12:55:22,2017-11-20 12:57:47,IP Address,174.109.165.194,100,145,True,2017-11-20 12:57:48,R_pL76WKZuZnA8pLH,,,,,35.54460144043,-78.830902099609,anonymous,EN,Disagree,Science,Agree,Science,Agree,Pop Culture,Strongly Agree,Pop Culture,Disagree,Pop Culture,Strongly Agree,Science,Agree,Pop Culture,Strongly Disagree,Science,Strongly Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Strongly Disagree,Science,Strongly Agree,Science,Strongly Agree,Science,Strongly Agree,Pop Culture,Agree,Pop Culture,,,10426185
2017-11-20 12:56:19,2017-11-20 12:59:08,IP Address,50.192.47.17,100,169,True,2017-11-20 12:59:09,R_3Iaa6hRFZAys4tR,,,,,33.784393310547,-84.213500976562,anonymous,EN,Undecided,Science,Agree,Science,Undecided,Pop Culture,Strongly Agree,Pop Culture,Strongly Agree,Pop Culture,Undecided,Both of the above,Agree,Pop Culture,Undecided,Science,Strongly Agree,Pop Culture,Agree,Pop Culture,Disagree,Pop Culture,Disagree,Science,Strongly Agree,Science,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,,,61680829
2017-11-20 12:56:42,2017-11-20 12:59:12,IP Address,204.84.244.12,100,149,True,2017-11-20 12:59:13,R_3Rsd3oHpPVvOw3y,,,,,35.994003295898,-78.898597717285,anonymous,EN,Disagree,Science,Agree,Science,Agree,Pop Culture,Disagree,Pop Culture,Strongly Agree,Pop Culture,Strongly Disagree,,Strongly Disagree,Pop Culture,Strongly Disagree,Science,Undecided,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Strongly Agree,Science,Strongly Agree,,Agree,Science,Agree,Pop Culture,Agree,Both of the above,,,93338046
2017-11-20 12:57:18,2017-11-20 12:59:41,IP Address,199.244.51.91,100,142,True,2017-11-20 12:59:41,R_3h3gOAGMEUThJ4D,,,,,40.760498046875,-73.993301391602,anonymous,EN,Agree,Pop Culture,Agree,Both of the above,Agree,Pop Culture,Agree,Both of the above,Agree,Pop Culture,Agree,Science,Agree,Science,Agree,Pop Culture,Agree,Both of the above,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,Both of the above,Agree,Pop Culture,Agree,Science,Agree,Science,Agree,Science,25503828
2017-11-20 12:59:01,2017-11-20 13:01:15,IP Address,134.174.110.22,100,133,True,2017-11-20 13:01:15,R_3HuaEIJfzp2avSq,,,,,42.305892944336,-71.085899353027,anonymous,EN,Agree,Science,Disagree,Science,Disagree,Pop Culture,Strongly Agree,Pop Culture,Disagree,Pop Culture,Agree,Science,Undecided,Pop Culture,Disagree,Science,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Undecided,Science,Agree,Science,Agree,Science,Agree,Pop Culture,Strongly Agree,Pop Culture,,,76778290
2017-11-20 13:03:02,2017-11-20 13:05:02,IP Address,216.158.249.15,100,119,True,2017-11-20 13:05:02,R_Zq7Xv4vyOzCCXxn,,,,,36.463500976562,-105.61280059814,anonymous,EN,Undecided,Science,Strongly Agree,Science,Undecided,Pop Culture,Agree,Pop Culture,Undecided,Pop Culture,Undecided,Science,Undecided,Pop Culture,Disagree,Science,Undecided,Pop Culture,Undecided,Pop Culture,Strongly Agree,Pop Culture,Undecided,Science,Strongly Agree,Science,Undecided,Science,Undecided,Pop Culture,Undecided,Pop Culture,,,12259663
2017-11-20 13:04:13,2017-11-20 13:05:56,IP Address,73.178.168.46,100,103,True,2017-11-20 13:05:57,R_1KuLybjD4eib8yN,,,,,40.068801879883,-74.595596313477,anonymous,EN,Undecided,Science,Agree,Science,Undecided,Pop Culture,Undecided,Pop Culture,Undecided,Pop Culture,Strongly Agree,Science,Undecided,Pop Culture,Strongly Disagree,Science,Undecided,Pop Culture,Undecided,Pop Culture,Strongly Agree,Pop Culture,Undecided,Science,Undecided,Science,Agree,Science,Undecided,Pop Culture,Disagree,Pop Culture,,,46268402
2017-11-20 13:05:52,2017-11-20 13:08:02,IP Address,184.182.38.43,100,130,True,2017-11-20 13:08:03,R_6JVAwqerF2DGWbv,,,,,32.247604370117,-110.94999694824,anonymous,EN,Disagree,Science,Disagree,Science,Undecided,Pop Culture,Undecided,Pop Culture,Agree,Pop Culture,Agree,Both of the above,Undecided,Pop Culture,Undecided,Science,Undecided,Pop Culture,Undecided,Pop Culture,Undecided,Pop Culture,Disagree,Science,Agree,Science,Agree,Science,Undecided,Pop Culture,Undecided,Pop Culture,Undecided,,47260850
2017-11-20 13:05:29,2017-11-20 13:08:08,IP Address,24.2.193.183,100,159,True,2017-11-20 13:08:09,R_upSsXeIqtow0trj,,,,,41.286407470703,-72.795600891113,anonymous,EN,Undecided,Science,Agree,Science,Agree,Pop Culture,Strongly Agree,Pop Culture,Undecided,Pop Culture,Agree,Both of the above,Undecided,Pop Culture,Strongly Disagree,Science,Undecided,Pop Culture,Agree,Pop Culture,Strongly Agree,Pop Culture,Undecided,Science,Agree,Science,Agree,Science,Agree,Pop Culture,Strongly Agree,Pop Culture,,,17906103
2017-11-20 13:05:57,2017-11-20 13:08:21,IP Address,24.145.87.106,100,143,True,2017-11-20 13:08:22,R_1lrQpb6e4b41Fdg,,,,,33.598205566406,-81.671203613281,anonymous,EN,Undecided,Science,Agree,Science,Undecided,Pop Culture,Undecided,Pop Culture,Agree,Pop Culture,Disagree,Science,Disagree,Pop Culture,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,Science,Agree,Science,Disagree,Science,Disagree,Pop Culture,Undecided,Pop Culture,,,50556183
2017-11-20 13:06:34,2017-11-20 13:09:36,IP Address,72.228.42.128,100,182,True,2017-11-20 13:09:37,R_2X1ojbsg89BbCUd,,,,,43.005599975586,-73.862800598145,anonymous,EN,Strongly Agree,Science,Disagree,Science,Undecided,Pop Culture,Agree,Pop Culture,Undecided,Pop Culture,Disagree,Science,Undecided,Pop Culture,Strongly Disagree,Science,Undecided,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Strongly Disagree,Science,Strongly Agree,Science,Undecided,Science,Undecided,Pop Culture,Agree,Pop Culture,,,93026143
2017-11-20 13:05:47,2017-11-20 13:09:41,IP Address,107.131.84.214,100,233,True,2017-11-20 13:09:41,R_3MKgmpiBNmNTNNb,,,,,36.097106933594,-95.962699890137,anonymous,EN,Disagree,Science,Undecided,Science,Agree,Pop Culture,Strongly Agree,Pop Culture,Undecided,Pop Culture,Strongly Agree,Science,Undecided,Pop Culture,Strongly Disagree,Science,Agree,Pop Culture,Agree,Pop Culture,Strongly Agree,Pop Culture,Undecided,Science,Agree,Both of the above,Disagree,Science,Agree,Pop Culture,Agree,Pop Culture,,,95384581
2017-11-20 13:12:17,2017-11-20 13:15:29,IP Address,47.39.232.126,100,192,True,2017-11-20 13:15:30,R_1Gvu32Uc05osdOV,,,,,33.418899536133,-84.71019744873,anonymous,EN,Undecided,Science,Strongly Disagree,Science,Strongly Disagree,Pop Culture,Undecided,Pop Culture,Undecided,Pop Culture,Undecided,Science,Undecided,Pop Culture,Strongly Disagree,Science,Agree,Pop Culture,Undecided,Pop Culture,Disagree,Pop Culture,Strongly Disagree,Science,Strongly Agree,Science,Strongly Agree,Science,Agree,Pop Culture,Agree,Pop Culture,,,78016093
2017-11-20 13:13:54,2017-11-20 13:15:54,IP Address,216.125.160.51,100,119,True,2017-11-20 13:15:54,R_2ysIzVtrThPwfNn,,,,,42.018203735352,-88.217300415039,anonymous,EN,Agree,Science,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Undecided,Science,Strongly Agree,Pop Culture,Disagree,Science,Agree,Pop Culture,Strongly Agree,Pop Culture,Strongly Agree,Pop Culture,Disagree,Science,Strongly Agree,Science,Undecided,Science,Agree,Pop Culture,Agree,Both of the above,,,46043510
2017-11-20 13:13:59,2017-11-20 13:16:46,IP Address,174.19.195.252,100,166,True,2017-11-20 13:16:46,R_2c5yEcB1StsbOBs,,,,,33.509094238281,-112.02649688721,anonymous,EN,Strongly Agree,Science,Agree,Science,Undecided,,Undecided,,Undecided,Pop Culture,Undecided,Science,Undecided,,Strongly Disagree,Science,Undecided,,Agree,Pop Culture,Agree,Pop Culture,Strongly Disagree,Science,Strongly Agree,Science,Undecided,Science,Undecided,Pop Culture,Undecided,,,,55041600
2017-11-20 13:14:18,2017-11-20 13:17:27,IP Address,68.225.161.74,100,188,True,2017-11-20 13:17:27,R_1Fain1PpZdZIpig,,,,,35.427993774414,-97.487800598145,anonymous,EN,Undecided,Science,Undecided,Science,Undecided,Pop Culture,Undecided,Pop Culture,Agree,Pop Culture,Undecided,Science,Undecided,Pop Culture,Undecided,Science,Undecided,Pop Culture,Undecided,Pop Culture,Undecided,Pop Culture,Strongly Disagree,Science,Strongly Agree,,Undecided,Science,Undecided,Pop Culture,Undecided,Pop Culture,,,17100434
2017-11-20 13:16:44,2017-11-20 13:18:33,IP Address,132.147.20.195,100,108,True,2017-11-20 13:18:34,R_27fiUsHnz2V9frw,,,,,33.598205566406,-81.671203613281,anonymous,EN,Undecided,Science,Disagree,Science,Undecided,Pop Culture,Agree,Pop Culture,Undecided,Pop Culture,Agree,Science,Undecided,Pop Culture,Disagree,Science,Agree,Pop Culture,Undecided,Pop Culture,Strongly Agree,Pop Culture,Strongly Disagree,Science,Strongly Agree,Science,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,,,62804730
2017-11-20 13:18:01,2017-11-20 13:20:54,IP Address,174.126.22.66,100,173,True,2017-11-20 13:20:54,R_vx05jnE016TQkvL,,,,,33.517196655273,-94.138702392578,anonymous,EN,Strongly Disagree,Science,Strongly Agree,Science,Disagree,Pop Culture,Undecided,Pop Culture,Disagree,Pop Culture,Strongly Agree,Science,Undecided,Pop Culture,Strongly Disagree,Science,Disagree,Pop Culture,Strongly Agree,Pop Culture,Disagree,Pop Culture,Disagree,Science,Strongly Agree,Science,Agree,Science,Disagree,Pop Culture,Undecided,Pop Culture,,,23267456
2017-11-20 13:23:31,2017-11-20 13:26:27,IP Address,142.129.18.134,100,176,True,2017-11-20 13:26:28,R_2ZUjqbZ89zIwLHd,,,,,34.028106689453,-117.93280029297,anonymous,EN,Undecided,,Disagree,Science,Agree,Pop Culture,Agree,Pop Culture,Undecided,Pop Culture,Disagree,Science,Disagree,Pop Culture,Disagree,Science,Disagree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Disagree,Science,Agree,Science,Agree,Science,Undecided,Pop Culture,Agree,Pop Culture,,,65787041
2017-11-20 13:24:55,2017-11-20 13:27:11,IP Address,72.65.235.195,100,136,True,2017-11-20 13:27:11,R_3MAVxDlBxgonGKs,,,,,40.429504394531,-80.014801025391,anonymous,EN,Agree,Science,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,Both of the above,Agree,Pop Culture,Strongly Disagree,Science,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,Science,Agree,Science,Undecided,Science,Agree,Pop Culture,Agree,Pop Culture,,,97166376
2017-11-20 13:27:01,2017-11-20 13:30:15,IP Address,72.184.239.100,100,194,True,2017-11-20 13:30:16,R_3rZovchVqf7l99d,,,,,27.911193847656,-82.755096435547,anonymous,EN,Disagree,Science,Agree,Science,Undecided,Pop Culture,Strongly Agree,Pop Culture,Undecided,Pop Culture,Agree,Science,Undecided,Pop Culture,Disagree,Science,Disagree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Disagree,Science,Strongly Agree,Science,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,,,57793340
2017-11-20 13:25:08,2017-11-20 13:30:36,IP Address,73.158.44.143,100,327,True,2017-11-20 13:30:37,R_3hnprlwCabxjftq,,,,,37.548294067383,-121.98860168457,anonymous,EN,Undecided,Science,Undecided,Science,Undecided,Pop Culture,Undecided,Pop Culture,Undecided,Pop Culture,Disagree,Pop Culture,Undecided,Pop Culture,Undecided,Science,Undecided,Pop Culture,Agree,Pop Culture,Undecided,Pop Culture,Undecided,Science,Undecided,,Agree,Science,Undecided,Pop Culture,Agree,Pop Culture,,,70493451
2017-11-20 13:29:02,2017-11-20 13:31:18,IP Address,216.174.185.87,100,135,True,2017-11-20 13:31:18,R_3HUEAyJVgvJG1Z2,,,,,39.801696777344,-89.643699645996,anonymous,EN,Agree,Science,Agree,Science,Agree,Pop Culture,Strongly Agree,Science,Undecided,Pop Culture,Agree,Science,Undecided,Pop Culture,Strongly Disagree,,Undecided,Pop Culture,Undecided,Pop Culture,Undecided,Pop Culture,Undecided,Science,Agree,Science,Strongly Agree,Science,Undecided,Pop Culture,Strongly Agree,Pop Culture,,,42612613
2017-11-20 13:43:48,2017-11-20 13:46:16,IP Address,66.214.230.171,100,148,True,2017-11-20 13:46:17,R_z1pEF0NwBi1qJ9L,,,,,33.78239440918,-118.14440155029,anonymous,EN,Undecided,Science,Disagree,Science,Undecided,Pop Culture,Undecided,Pop Culture,Disagree,Pop Culture,Strongly Disagree,Science,Strongly Disagree,Pop Culture,Disagree,Science,Agree,Pop Culture,Strongly Disagree,Pop Culture,Disagree,Pop Culture,Disagree,Science,Agree,Science,Strongly Disagree,Science,Undecided,Pop Culture,Disagree,Pop Culture,,,25898631
2017-11-20 13:45:46,2017-11-20 13:47:16,IP Address,162.231.57.35,100,90,True,2017-11-20 13:47:16,R_2WDaaHdI7qvDDkM,,,,,32.736801147461,-117.12770080566,anonymous,EN,Agree,Science,Strongly Agree,Science,Agree,Pop Culture,Agree,Pop Culture,Undecided,Pop Culture,Disagree,Science,Agree,Pop Culture,Strongly Disagree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Strongly Agree,Pop Culture,Disagree,Science,Strongly Agree,Science,Strongly Agree,Science,Agree,Pop Culture,Agree,Pop Culture,,,21174189
2017-11-20 13:55:51,2017-11-20 13:58:27,IP Address,24.229.164.90,100,155,True,2017-11-20 13:58:27,R_20SeVo4nIDibtkf,,,,,40.657104492188,-75.502998352051,anonymous,EN,Disagree,Science,Disagree,Science,Undecided,Pop Culture,Disagree,Pop Culture,Undecided,Pop Culture,Agree,Science,Agree,Pop Culture,Strongly Disagree,Science,Undecided,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Disagree,Science,Agree,Science,Undecided,Science,Agree,Pop Culture,Agree,Pop Culture,,,61316470
