StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,P01,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,D1,D2,CompletionCode,Topic,Enter Embedded Data Field Name Here...
2017-11-27 23:46:35,2017-11-27 23:51:10,IP Address,189.135.176.34,100,274,True,2017-11-27 23:51:10,R_2COOtj4oGekGbCa,,,,,19.949996948242,-102.26670074463,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Disagree,Strongly Disagree,Undecided,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Undecided,Undecided,Strongly Agree,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Strongly Disagree,Undecided,,1995,Male,31729791,PopCulture,
2017-11-27 23:51:10,2017-11-27 23:52:35,IP Address,24.140.17.10,100,85,True,2017-11-27 23:52:36,R_A1IZPO4qhZnua0p,,,,,40.818206787109,-81.491798400879,anonymous,EN,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,,,,,,,,,,,,,,,,,,,,,,1983,Male,24215571,Science,
2017-11-27 23:48:41,2017-11-27 23:55:34,IP Address,174.30.3.170,100,412,True,2017-11-27 23:55:34,R_SQ4EAwdLYYapzJn,,,,,44.052093505859,-123.08670043945,anonymous,EN,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,1981,Female,93153691,Science,
2017-11-27 23:52:22,2017-11-27 23:56:12,IP Address,104.174.145.72,100,229,True,2017-11-27 23:56:13,R_cveV1xRbJ4KICNH,,,,,33.934906005859,-118.36140441895,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Undecided,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Undecided,Strongly Agree,Agree,,1984,Male,92405096,PopCulture,
2017-11-27 23:54:43,2017-11-27 23:57:33,IP Address,24.113.4.88,100,169,True,2017-11-27 23:57:33,R_1Kyg2iy99H89AzS,,,,,47.99609375,-123.25189971924,anonymous,EN,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Undecided,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Undecided,Strongly Disagree,,,,,,,,,,,,,,,,,,,,,,1974,Male,93742603,Science,
2017-11-27 23:55:06,2017-11-27 23:58:05,IP Address,104.51.95.240,100,178,True,2017-11-27 23:58:06,R_3oF9b97adTM4K49,,,,,41.626998901367,-88.204002380371,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Undecided,Disagree,Strongly Disagree,Undecided,Disagree,Strongly Agree,Undecided,Agree,Strongly Agree,Undecided,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,,1983,Male,86100441,PopCulture,
2017-11-27 23:57:23,2017-11-28 00:00:11,IP Address,107.77.228.150,100,168,True,2017-11-28 00:00:12,R_1CKqHc1u1cZkKUI,,,,,34.054397583008,-118.2440032959,anonymous,EN,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1991,Female,85803518,Science,
2017-11-28 00:04:19,2017-11-28 00:06:57,IP Address,187.250.86.199,100,158,True,2017-11-28 00:06:58,R_3FQLYxVZqHHYKQg,,,,,32.533294677734,-117.01670074463,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Undecided,Undecided,Strongly Agree,Undecided,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Undecided,Undecided,Strongly Disagree,Agree,Strongly Agree,,1994,Female,38246829,PopCulture,
2017-11-28 00:11:51,2017-11-28 00:14:37,IP Address,66.76.210.149,100,166,True,2017-11-28 00:14:37,R_12seJW5TB3erAGf,,,,,30.653503417969,-97.582801818848,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Agree,Undecided,Agree,Undecided,Undecided,Strongly Agree,Agree,Disagree,Strongly Disagree,Undecided,Disagree,Undecided,Strongly Agree,Strongly Disagree,Undecided,Undecided,Undecided,Undecided,,1977,Male,39857189,PopCulture,
2017-11-28 00:13:18,2017-11-28 00:15:25,IP Address,172.89.78.59,100,126,True,2017-11-28 00:15:25,R_3NIhxE7zK4ESAIL,,,,,34.286804199219,-118.61399841309,anonymous,EN,Undecided,Undecided,Undecided,Strongly Agree,Undecided,Agree,Undecided,Disagree,Agree,Agree,Undecided,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Undecided,Agree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1991,Female,92326035,Science,
2017-11-28 00:14:55,2017-11-28 00:16:34,IP Address,172.103.25.6,100,99,True,2017-11-28 00:16:35,R_3EMWyRWj9emtFCJ,,,,,43.518997192383,-96.732200622559,anonymous,EN,Strongly Disagree,Strongly Disagree,Agree,Undecided,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Undecided,Disagree,Strongly Disagree,,,,,,,,,,,,,,,,,,,,,,1990,Male,79126297,Science,
2017-11-28 00:13:11,2017-11-28 00:20:35,IP Address,173.239.220.141,100,444,True,2017-11-28 00:20:36,R_SJcm8gqIhnxg8SZ,,,,,40.551605224609,-74.46369934082,anonymous,EN,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,,,1981,Male,84019075,Science,
2017-11-28 00:16:29,2017-11-28 00:23:43,IP Address,75.219.207.151,100,434,True,2017-11-28 00:23:44,R_12KzWnzq7mSVoD2,,,,,37.751007080078,-97.821998596191,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Undecided,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Undecided,Agree,Strongly Agree,Undecided,Agree,Agree,Agree,Strongly Agree,,1963,Male,49540244,PopCulture,
2017-11-28 00:24:56,2017-11-28 00:26:36,IP Address,162.225.150.26,100,99,True,2017-11-28 00:26:36,R_10oTpR5PCCUAudT,,,,,37.622802734375,-122.43640136719,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Undecided,Agree,Undecided,Agree,Undecided,Agree,Undecided,Undecided,Agree,Disagree,Undecided,,1994,Male,18802755,PopCulture,
